state_name,state,year,Population,Employment,Unemployment ,Unemployment rate,Marginally Food Insecure,Food Insecure,Very Low Food Secure,Gross State Product,Number of low income uninsured children,Percent Low Income Unisured Children,Personal income,Workers' compensation,AFDC/TANF Recipients,AFDC/TANF Caseloads,Food Stamp/SNAP Recipients,Food Stamp/SNAP Caseloads,AFDC/TANF Benefit for 2-Person family,AFDC/TANF Benefit for 3-person family,AFDC/TANF benefit for 4-person family,FS/SNAP Benefit for 1-person family,FS/SNAP Benefit for 2-person family,FS/SNAP Benefit for 3-person family,FS/SNAP Benefit for 4-person family,AFDC/TANF_FS 2-Person Benefit,AFDC/TANF_FS 3-Person Benefit,AFDC/TANF_FS 4-Person Benefit,Child-only AFDC/TANF cases,SSI-Federal,SSI-State,Total SSI,SSI_FS Benefit,Number of Poor (thousands),Poverty Rate,Governor is Democrat (1=Yes),Number in Lower House Democrat,Number in Lower House Republican,Fraction of State House that is Democrat,Number in Upper House Democrat,Number in Upper House Republican,Fraction of State Senate that is Democrat,EITC Phase-In Rate No Dependents,EITC Phase-In Rate 1 Dependent,EITC Phase-In Rate 2 Dependents,EITC Phase-In Rate 3 Dependents,EITC Maximum Credit No Dependents,EITC Maximum Credit 1 Dependent,EITC Maximum Credit 2 Dependents,EITC Maximum Credit 3 Dependents,EITC Phase-Out Rate No Dependents,EITC Phase-Out Rate 1 Dependent,EITC Phase-Out Rate 2 Dependents,EITC Phase-Out Rate 3 Dependents,State EITC Rate,Wisconsin EITC Rate 2 Dependents,Wisconsin EITC Rate 3 Dependents,Refundable State EITC (1=Yes),Federal Minimum Wage,State Minimum Wage,SSI recipients,SSI recipients--Aged,SSI recipients--Blind,SSI recipients--Disabled,Medicaid beneficiaries,WIC participation,NSLP Free Participation,NSLP Reduced Participation,NSLP Total Participation,SBP Free Participation,SBP Reduced Participation,SBP Total Participation
NV,29,2001,2098399,1054262,57817,5.2,18.47065,10.32043,4.06976,79735,51,8.4,68307123,24816,19461,7439,69825,32102,289,348,407,130,238,341,434,527,689,841,2629,531,36,567,657,152,7.1,0,28,14,0.67,9,12,0.43,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,27161,7263,680,19218,108567,40646,58091,14949,120947,25491,3890,36065
NH,30,2001,1255517,673778,23982,3.4,15.12732,6.67564,1.45582,45404,16,5.2,46228337,12231,13495,5659,35554,17951,506,600,638,130,238,341,434,722,891,1011,1680,531,27,558,651,81,6.5,1,153,244,0.39,12,12,0.50,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,11942,944,126,10872,83111,16507,18901,7584,105864,7259,1381,16500
NJ,31,2001,8492671,4106225,182601,4.3,16.98324,8.06830,2.02311,372718,128,6.5,344672849,262189,113481,45325,317579,144067,322,424,488,130,238,341,434,560,765,906,16701,531,31,562,654,683,8.1,0,32,48,0.40,16,24,0.40,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.150,,,1,5.15,5.15,147747,34101,1067,112579,779095,128577,261522,51523,588152,71287,6199,89532
NM,32,2001,1831690,815642,42307,4.9,28.50069,15.63893,3.74766,57088,45,8.6,45083587,27717,55143,19322,163245,62484,360,439,519,130,238,341,434,598,779,928,4115,531,0,531,632,323,18.0,0,40,30,0.57,25,17,0.60,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,4.25,47579,8814,554,38211,333567,59464,125627,22075,195228,63442,7825,82774
NY,33,2001,19082838,8709897,441848,4.8,17.78580,9.99315,2.49086,861726,237,5.0,709589003,1924986,613353,226921,1353542,683969,468,577,687,130,238,341,434,696,875,1045,62521,531,87,618,693,2664,14.2,0,98,52,0.65,23,36,0.39,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.250,,,1,5.15,5.15,622764,137622,3271,481871,2872866,460252,997096,141134,1777983,358685,33268,460464
NC,34,2001,8210122,3966798,231540,5.5,24.46256,14.02479,3.65727,289231,143,6.5,227904776,59931,93366,43497,493672,213420,236,272,297,130,238,341,434,474,613,731,22579,531,0,531,632,1013,12.5,1,66,54,0.55,35,15,0.70,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,191630,31916,2068,157646,1056331,200678,362013,87526,834328,183427,27730,275418
ND,35,2001,639062,331820,9996,2.9,15.66896,8.89690,2.13556,19344,7,5.4,17036787,92715,7784,2999,37755,15921,363,457,549,130,238,341,434,601,791,949,812,531,0,531,632,86,13.8,0,34,63,0.35,18,31,0.37,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,8129,1277,86,6766,46620,14053,20194,7611,79384,7385,1321,13333
OH,36,2001,11387404,5567130,249702,4.3,19.14348,12.09992,3.69199,396835,122,4.4,332936158,1901158,199352,85005,640503,292221,305,373,461,130,238,341,434,543,714,887,38127,531,0,531,632,1174,10.5,0,39,59,0.40,12,21,0.36,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,4.25,241763,16929,2193,222641,1257154,247092,357850,79597,999069,148641,12977,191024
OK,37,2001,3467100,1614572,61363,3.7,24.84171,14.23488,4.48059,97925,106,11.5,87908711,173270,34810,13934,271001,113374,225,292,361,130,238,341,434,463,633,795,6357,531,53,584,669,508,15.1,0,61,40,0.60,33,15,0.69,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,72756,10072,844,61840,463563,105907,183038,44794,373613,103471,16531,148221
OR,38,2001,3467937,1706904,117012,6.4,27.21316,16.80641,6.37981,117694,71,7.9,100335404,612356,36623,16270,283705,137199,395,460,565,130,238,341,434,633,793,960,7258,531,2,533,633,408,11.8,1,25,35,0.42,13,17,0.43,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.050,,,0,5.15,6.50,54099,7440,635,46024,421574,93246,118299,31244,266988,68266,10029,100783
PA,39,2001,12298970,5881688,296929,4.8,18.17418,9.33886,1.77581,428838,159,5.5,385683541,263193,216186,82644,748074,342814,330,403,514,130,238,341,434,568,744,924,28038,531,27,558,651,1158,9.6,0,100,103,0.49,20,30,0.40,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,294467,35239,2441,256787,1364246,226434,366739,83386,1024563,140186,14953,193688
RI,40,2001,1057142,519044,24818,4.6,17.89213,10.82708,1.86374,36083,10,4.0,33489344,11462,41623,15228,71272,32632,449,554,634,130,238,341,434,683,859,1008,2790,531,64,595,677,100,9.6,0,85,12,0.88,42,8,0.84,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.255,,,0,5.15,6.15,28623,4511,216,23896,164688,21925,33444,4760,64589,12785,763,15251
SC,41,2001,4064995,1847939,101746,5.2,21.48047,11.76792,3.44699,121126,57,5.3,103768987,155464,45051,18643,315718,130055,162,203,245,130,238,341,434,400,544,679,8076,531,0,531,632,603,15.1,1,57,67,0.46,24,22,0.52,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,106881,15949,1574,89358,754885,111408,240199,42098,468866,129411,13584,168072
SD,42,2001,757972,400031,12747,3.1,19.14867,9.73291,1.22257,23896,8,4.3,21096085,8134,6365,2713,44594,17160,380,430,478,130,238,341,434,618,771,899,1548,531,15,546,642,62,8.4,0,19,51,0.27,13,22,0.37,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,12698,1921,100,10677,83903,20505,32077,10882,104717,12938,1735,18272
TN,43,2001,5750789,2730988,130355,4.6,21.80886,13.74651,4.26148,188195,60,4.1,159025404,70609,154905,59369,521510,226224,142,185,226,130,238,341,434,380,526,660,28564,531,0,531,632,802,14.1,0,61,38,0.62,18,15,0.55,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,162920,21487,1677,139756,1456628,149490,274123,53967,621187,136443,18152,194881
TX,44,2001,21319622,10011046,521686,5.0,27.47383,16.06700,3.96157,784956,934,14.3,626675708,212537,349279,130893,1360642,500129,174,201,241,130,238,341,434,412,542,675,46097,531,0,531,632,3129,14.9,0,78,71,0.52,15,16,0.48,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,418235,113587,5868,298780,2027517,750122,1443247,220606,2494054,774123,78287,1011086
UT,45,2001,2283715,1112607,51470,4.4,29.89852,16.49582,4.62262,74122,47,6.1,56628923,164502,19184,7487,79716,32647,362,451,528,130,238,341,434,600,787,934,2474,531,0,531,632,238,10.5,0,21,54,0.28,11,18,0.38,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,20545,2096,255,18194,138487,58928,76181,33376,273112,24612,4422,35206
VT,46,2001,612223,325889,11176,3.3,17.55219,10.03315,2.78151,19245,2,1.5,18675843,4132,14604,5524,38874,19090,604,708,792,130,238,341,434,791,967,1119,896,531,59,590,673,59,9.7,1,77,67,0.53,17,13,0.57,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.320,,,1,5.15,6.25,12554,1464,116,10974,124548,15966,15568,5155,52724,8050,1554,14576
VA,47,2001,7198362,3551375,118762,3.2,13.08924,7.98208,1.01832,280923,67,3.6,245204706,97904,65051,29271,332312,149595,294,354,410,130,238,341,434,532,695,844,12427,531,0,531,632,564,8.0,0,47,52,0.47,20,20,0.50,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,132808,23834,1439,107535,525606,130094,226651,60937,669890,114813,17557,175984
WA,48,2001,5985722,2847875,191492,6.3,22.27640,13.01137,3.53588,240647,112,7.0,198547288,1454775,141397,54160,308589,141387,440,546,642,130,238,341,434,676,853,1014,16801,531,26,557,650,634,10.7,1,49,49,0.50,27,22,0.55,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,6.72,104700,14303,975,89422,789415,150138,193279,56220,473725,86517,13155,119746
WV,49,2001,1801481,768661,40467,5.0,17.23496,9.64939,2.27822,43851,21,5.1,42471414,683580,39039,14732,221361,94794,276,453,387,130,238,341,434,514,788,821,4361,531,0,531,632,291,16.4,1,75,25,0.75,29,5,0.85,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,72953,5232,595,67126,260399,50064,88127,21960,196138,51599,9499,83063
WI,50,2001,5406835,2875585,136118,4.5,16.79344,9.43500,2.83312,188703,43,3.2,167125085,24877,40030,17680,215786,86588,673,673,673,130,238,341,434,839,942,1035,11661,531,84,615,691,423,7.9,0,44,55,0.44,17,16,0.52,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.040,0.140,0.430,1,5.15,5.15,85333,9310,957,75066,531438,100128,145915,46742,545827,38247,5889,59488
WY,51,2001,494657,259089,10270,3.8,19.21444,8.31927,3.33833,18906,8,6.6,15176559,99475,987,524,22539,9129,320,340,340,130,238,341,434,558,681,774,364,531,10,541,639,42,8.7,0,17,43,0.28,10,20,0.33,0.0765,0.3400,0.4000,0.4000,364,2428,4008,4008,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,5790,525,52,5213,41026,11103,15474,6025,49806,5795,1061,8778
AL,1,2002,4480089,1981919,124242,5.9,21.67676,11.74605,2.34932,129243,80,6.9,114176585,71522,42754,18037,443547,173295,137,164,194,135,248,356,452,385,520,646,9106,545,0,545,663,640,14.5,1,69,36,0.66,23,12,0.66,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,163740,22729,1073,139938,737091,118616,278204,50288,545747,125335,12334,159950
AK,2,2002,642337,302580,23821,7.3,24.00327,13.88186,4.25411,29822,11,5.5,22013624,16988,17623,6034,46165,16138,821,923,1025,167,307,440,559,1120,1325,1515,1121,545,362,907,1040,56,8.8,1,14,26,0.35,5,15,0.25,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,7.15,9658,1568,114,7976,92345,25094,22467,6986,52807,7365,1222,10937
AZ,3,2002,5396255,2516006,163415,6.1,23.09518,14.64864,2.71421,179211,149,9.7,146532203,280639,94279,40097,378722,143826,275,347,418,135,248,356,452,523,703,870,17471,545,0,545,663,735,13.5,0,22,38,0.37,14,16,0.47,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,88054,13248,933,73873,803956,151186,269945,51110,489637,116340,13346,151245
AR,4,2002,2705927,1201422,69575,5.5,30.53581,17.29477,4.48660,74673,47,6.7,65583321,38325,27731,12004,283909,113238,162,204,247,135,248,356,452,410,560,699,5082,545,0,545,663,532,19.8,0,74,23,0.76,29,6,0.83,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,85107,12108,926,72073,492159,84153,165126,28773,315263,95151,9898,127027
CA,5,2002,34871843,16108685,1148412,6.7,22.48236,13.61722,3.79214,1450452,812,8.1,1182174837,2000482,1160882,462328,1710306,647661,505,679,746,135,248,356,452,748,978,1121,174873,545,205,750,806,4605,13.1,1,47,32,0.59,24,15,0.62,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,6.75,1135834,342142,21995,771697,7474860,1266542,1662651,314223,2659390,684363,83862,854210
CO,6,2002,4490406,2307685,135307,5.5,16.01033,9.43054,3.02350,188371,105,8.8,156288493,444531,31491,12086,178490,78902,281,356,432,135,248,356,452,529,712,884,4579,545,37,582,689,436,9.8,0,25,40,0.38,15,20,0.43,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,53689,8663,550,44476,329958,77501,122495,33259,325715,41237,6288,61666
CT,7,2002,3458749,1697127,77025,4.3,15.76302,9.95732,3.12284,175606,32,3.5,155702576,127283,53158,23749,168591,87963,513,636,741,135,248,356,452,754,948,1117,8456,545,202,747,804,279,8.3,0,96,55,0.64,19,17,0.53,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,6.70,50368,6960,494,42914,407546,51329,105039,20720,280212,39886,3463,50266
DE,8,2002,806169,400019,16764,4.0,14.64690,10.02786,2.66294,43018,7,3.7,30513129,11802,12357,5469,39628,16483,270,338,407,135,248,356,452,518,694,859,2537,545,0,545,663,73,9.1,1,15,26,0.37,13,8,0.62,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,6.15,12565,1327,113,11125,115296,17241,28107,5519,73803,12843,1336,18560
DC,9,2002,573158,286496,19603,6.4,17.32318,11.60605,1.59157,70822,8,6.9,26107920,21049,42159,16157,74271,34554,298,379,463,135,248,356,452,546,735,915,5543,545,0,545,663,97,17.0,,,,,,,,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.250,,,1,5.15,6.15,20221,2281,190,17750,129808,15117,40877,2463,50350,17441,825,20088
FL,10,2002,16689370,7656349,458060,5.6,22.34460,12.86271,3.11758,549614,335,8.3,522698930,282656,123247,59013,985130,472697,241,303,364,135,248,356,452,489,659,816,35351,545,0,545,663,2058,12.6,0,47,73,0.39,15,24,0.38,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,396976,95691,3237,298048,2072089,340954,777272,148856,1369013,351510,38871,456331
GA,11,2002,8508256,4110874,216817,5.0,24.09832,13.98419,1.53032,324214,152,6.5,254655443,89454,128177,53678,645633,263076,235,280,330,135,248,356,452,483,636,782,24585,545,0,545,663,939,11.2,1,102,78,0.57,33,22,0.60,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,198599,30900,2192,165507,1087780,237124,507130,101732,1112375,279557,35507,397774
HI,12,2002,1239613,575594,25330,4.2,22.35218,15.39933,3.58087,45207,12,3.5,38922238,24869,30466,11127,106370,50981,452,570,687,204,374,536,680,826,1106,1361,2219,545,5,550,754,138,11.3,1,38,12,0.76,23,2,0.92,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.75,21566,6597,190,14779,158600,32986,50528,15300,135219,21009,3880,37616
ID,13,2002,1340372,646549,38042,5.6,25.90324,15.75410,3.75497,39190,33,8.5,35094185,105891,2374,1369,69998,28006,293,293,293,135,248,356,452,541,649,745,982,545,52,597,699,147,11.3,0,12,58,0.17,4,31,0.11,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,19394,1782,200,17412,152198,33448,55834,18834,147115,21760,3439,31378
IL,14,2002,12525556,5933897,415342,6.5,16.28155,8.54955,2.04451,514524,217,6.3,431913030,75080,133708,48091,886344,392909,278,377,414,135,248,356,452,526,733,866,21256,545,0,545,663,1594,12.8,0,62,56,0.53,27,32,0.46,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.050,,,0,5.15,5.15,252200,31450,2418,218332,1646484,124162,588518,79835,1090023,176113,11047,213617
IN,15,2002,6155967,3006811,164357,5.2,15.27971,8.36078,2.16908,215169,108,6.4,178158904,33819,138885,49265,410884,171329,229,288,346,135,248,356,452,477,644,798,9900,545,0,545,663,552,9.1,1,53,47,0.53,19,31,0.38,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,90893,6596,1031,83266,723166,63010,202986,55074,643464,85632,11688,123417
IA,16,2002,2934234,1572560,65349,4.0,19.29329,12.01773,3.44174,100534,30,3.9,84963006,12001,53434,20154,140729,60549,361,426,495,135,248,356,452,609,782,945,5047,545,0,545,663,267,9.2,1,44,56,0.44,20,30,0.40,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.065,,,0,5.15,5.15,41596,4058,812,36726,271034,33448,90422,32393,380099,37270,7121,69747
KS,17,2002,2713535,1341603,71411,5.1,23.14266,13.37539,4.59383,92320,42,5.7,79737565,17520,35808,13958,140403,62896,352,429,497,135,248,356,452,600,785,946,4470,545,0,545,663,269,10.1,0,48,77,0.38,13,27,0.33,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.150,,,0,5.15,2.65,37063,3566,383,33114,215194,57898,99554,34956,316260,53692,10511,84201
KY,18,2002,4089875,1833535,110485,5.7,22.61435,13.14222,3.21497,123933,67,6.6,106192366,149254,77658,34904,450102,187471,225,262,328,135,248,356,452,473,618,780,15673,545,0,545,663,571,14.2,1,64,35,0.65,18,20,0.47,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,176768,16635,1374,158759,620790,113112,226898,49006,508526,132905,18846,196011
LA,19,2002,4497267,1881146,123076,6.1,23.78431,13.98777,2.80575,141974,96,7.8,116334048,38971,60704,23700,588458,224450,138,240,234,135,248,356,452,386,596,686,11660,545,0,545,663,777,17.5,0,75,30,0.71,28,11,0.72,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,166884,21945,1832,143107,827767,129200,350441,54597,632139,184393,16723,234251
ME,20,2002,1295960,645935,29297,4.3,16.92490,9.26088,1.61966,40163,14,5.0,38155280,14699,26039,9692,111147,56376,345,485,581,135,248,356,452,593,841,1005,2342,545,10,555,670,170,13.4,0,81,69,0.54,19,15,0.56,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.050,,,0,5.15,5.75,30935,2987,230,27718,307490,21470,38495,11021,107618,16469,2897,28275
MD,21,2002,5440389,2742501,127453,4.4,16.12741,8.20477,3.48063,218842,53,3.7,205604275,264186,64850,27132,228329,104795,328,472,503,135,248,356,452,576,828,951,9235,545,0,545,663,400,7.4,1,106,35,0.75,32,15,0.68,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.160,,,0,5.15,5.15,89705,15542,725,73438,625751,96153,177698,43563,426838,84829,14038,127774
MA,22,2002,6417206,3250085,180997,5.3,9.90601,6.58371,1.53915,303930,34,2.2,255764186,103351,108068,47264,242542,114859,486,618,668,135,248,356,452,734,935,1066,17547,545,129,674,753,648,10.0,0,128,29,0.82,32,8,0.80,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.150,,,1,5.15,6.75,167027,45024,4059,117944,1001939,113176,186321,34034,541981,91309,6660,116119
MI,23,2002,10015710,4702399,314742,6.3,22.74452,12.69207,3.40647,366022,92,3.4,307775244,68723,201695,74338,750037,327853,371,459,563,135,248,356,452,619,815,993,25136,545,14,559,673,1152,11.6,0,52,58,0.47,15,23,0.39,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,213568,18173,1835,193560,1226963,215989,351559,67656,826252,159597,14658,211056
MN,24,2002,5018935,2731080,128522,4.5,14.13228,8.43561,2.41413,206672,56,4.2,169411366,132639,94584,35859,216960,101820,437,532,621,135,248,356,452,685,875,1033,9164,545,81,626,720,325,6.5,0,63,70,0.47,40,26,0.61,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.330,,,1,5.15,5.15,67011,9903,719,56389,519480,102008,141172,50597,576121,61278,12787,118090
MS,25,2002,2858681,1201191,85045,6.6,28.69888,17.30410,4.52974,69619,69,8.6,65905820,28473,40434,17607,324852,126389,146,170,194,135,248,356,452,394,526,646,7915,545,0,545,663,513,18.4,1,86,33,0.72,34,18,0.65,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,127123,19134,1159,106830,582246,102272,257340,33146,397076,147232,11673,177700
MO,26,2002,5674825,2839467,161441,5.4,22.15988,13.45534,3.56461,197566,42,2.9,165486900,75172,118753,45001,515006,220639,234,292,342,135,248,356,452,482,648,794,11651,545,0,545,663,551,9.9,1,86,76,0.53,18,16,0.53,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,114127,11271,973,101883,942395,128029,245937,55278,622416,120660,16385,177667
MT,27,2002,911667,446640,20563,4.4,20.36746,12.01503,3.41615,24144,18,7.8,22725980,86668,16440,5828,63347,26865,374,494,564,135,248,356,452,622,848,993,1378,545,0,545,663,122,13.5,0,41,59,0.41,18,32,0.36,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,14220,1206,134,12826,79086,21402,29328,8632,77649,11800,1788,17443
NE,28,2002,1728292,919401,34823,3.6,21.68701,13.72117,3.47646,62207,14,3.0,52771054,8619,25500,10335,88459,37570,293,364,435,135,248,356,452,541,720,887,3343,545,8,553,669,181,10.6,0,,,,,,,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,21659,2265,241,19153,216508,37074,63141,22859,221491,23859,4134,38698
NV,29,2002,2173791,1066121,63547,5.6,21.00184,11.90238,4.20854,84491,79,13.2,70519000,28859,27640,11015,97035,43556,289,348,407,135,248,356,452,537,704,859,4087,545,36,581,688,188,8.9,0,28,14,0.67,9,12,0.43,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,29154,7569,698,20887,142380,41297,67039,15028,130314,27838,3815,38500
NH,30,2002,1269089,670880,31400,4.5,15.11663,7.92375,2.51861,47617,8,2.4,47123075,13585,14465,6040,41053,20452,506,600,638,135,248,356,452,749,922,1045,1739,545,27,572,682,73,5.8,1,153,244,0.39,12,12,0.50,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,12316,958,129,11229,87807,16894,19830,7751,107514,7691,1472,17222
NJ,31,2002,8552643,4095174,251063,5.8,16.19553,10.09201,3.49760,386335,103,4.6,353295773,281792,103123,41986,319799,147077,322,424,488,135,248,356,452,570,780,940,16478,545,31,576,685,681,7.9,1,32,48,0.40,16,24,0.40,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.175,,,1,5.15,5.15,148115,33957,1040,113118,819494,133946,265330,52582,599548,67474,6359,86333
NM,32,2002,1855309,826086,48410,5.5,30.33680,18.11895,4.90617,59067,55,10.5,46519758,30453,47338,17015,170457,65875,360,439,519,135,248,356,452,608,795,962,4684,545,0,545,663,328,17.9,0,40,30,0.57,25,17,0.60,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,4.25,48790,8761,536,39493,380722,59914,127924,22520,198166,65428,8200,86377
NY,33,2002,19137800,8705352,570163,6.1,18.29921,11.15341,3.25838,881589,236,4.8,709926775,1865682,412530,170430,1346644,685572,468,577,687,135,248,356,452,716,906,1079,63316,545,87,632,724,2690,14.0,0,98,52,0.65,23,36,0.39,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.275,,,1,5.15,5.15,625234,136363,3194,485677,3364337,454577,990129,148385,1792586,352685,34814,458921
NC,34,2002,8326201,3906570,278143,6.6,23.83931,13.86683,4.81260,300873,181,8.6,231273894,69578,91084,42872,574369,244907,236,272,297,135,248,356,452,484,628,749,22445,545,0,545,663,1165,14.3,1,66,54,0.55,35,15,0.70,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,192595,30031,2009,160555,1104646,208377,383333,86391,843699,207354,29979,299698
ND,35,2002,638168,327957,12674,3.7,12.39362,7.04221,0.53668,20625,8,4.9,17427613,54334,8344,3232,36781,15899,363,477,549,135,248,356,452,611,833,983,846,545,0,545,663,73,11.6,0,34,63,0.35,18,31,0.37,0.0765,0.3400,0.4000,0.4000,376,2506,4140,4140,0.0765,0.1598,0.2106,0.2106,0.000,,,0,5.15,5.15,8090,1203,83,6804,54160,13823,20278,7085,77833,7679,1308,13965
